ISO3,total_req_yr,total_funded_yr,In Need_2024_AGR,In Need_2024_ALL,In Need_2024_CCM,In Need_2024_CSS,In Need_2024_EDU,In Need_2024_ERY,In Need_2024_FSC,In Need_2024_HEA,In Need_2024_LOG,In Need_2024_MS,In Need_2024_NUT,In Need_2024_PRO,In Need_2024_PRO-CPN,In Need_2024_PRO-GBV,In Need_2024_PRO-HLP,In Need_2024_PRO-MIN,In Need_2024_SHL,In Need_2024_WSH,Targeted_2024_AGR,Targeted_2024_ALL,Targeted_2024_CCM,Targeted_2024_CSS,Targeted_2024_EDU,Targeted_2024_ERY,Targeted_2024_FSC,Targeted_2024_HEA,Targeted_2024_LOG,Targeted_2024_MS,Targeted_2024_NUT,Targeted_2024_PRO,Targeted_2024_PRO-CPN,Targeted_2024_PRO-GBV,Targeted_2024_PRO-HLP,Targeted_2024_PRO-MIN,Targeted_2024_SHL,Targeted_2024_WSH,Reached_2024_AGR,Reached_2024_ALL,Reached_2024_CCM,Reached_2024_CSS,Reached_2024_EDU,Reached_2024_ERY,Reached_2024_FSC,Reached_2024_HEA,Reached_2024_LOG,Reached_2024_MS,Reached_2024_NUT,Reached_2024_PRO,Reached_2024_PRO-CPN,Reached_2024_PRO-GBV,Reached_2024_PRO-HLP,Reached_2024_PRO-MIN,Reached_2024_SHL,Reached_2024_WSH,In Need_2025_ALL,In Need_2025_CCM,In Need_2025_CSS,In Need_2025_EDU,In Need_2025_ERY,In Need_2025_FSC,In Need_2025_HEA,In Need_2025_LOG,In Need_2025_MPC,In Need_2025_MS,In Need_2025_NUT,In Need_2025_PRO,In Need_2025_PRO-CPN,In Need_2025_PRO-GBV,In Need_2025_PRO-HLP,In Need_2025_PRO-MIN,In Need_2025_SHL,In Need_2025_TEL,In Need_2025_WSH,Targeted_2025_ALL,Targeted_2025_CCM,Targeted_2025_CSS,Targeted_2025_EDU,Targeted_2025_ERY,Targeted_2025_FSC,Targeted_2025_HEA,Targeted_2025_LOG,Targeted_2025_MPC,Targeted_2025_MS,Targeted_2025_NUT,Targeted_2025_PRO,Targeted_2025_PRO-CPN,Targeted_2025_PRO-GBV,Targeted_2025_PRO-HLP,Targeted_2025_PRO-MIN,Targeted_2025_SHL,Targeted_2025_TEL,Targeted_2025_WSH,Reached_2025_ALL,Reached_2025_CCM,Reached_2025_CSS,Reached_2025_EDU,Reached_2025_ERY,Reached_2025_FSC,Reached_2025_HEA,Reached_2025_LOG,Reached_2025_MPC,Reached_2025_MS,Reached_2025_NUT,Reached_2025_PRO,Reached_2025_PRO-CPN,Reached_2025_PRO-GBV,Reached_2025_PRO-HLP,Reached_2025_PRO-MIN,Reached_2025_SHL,Reached_2025_TEL,Reached_2025_WSH,pooled_budget,pooled_dependency,combined_social_need,neglect_index,health_to_food_need_ratio,health_budget_per_person
BDI,132607381.0,42594889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
CMR,359298328.0,84320211.0,,16847628.0,,,7217877.0,,12524548.0,8286966.0,,,3174935.0,18621949.0,4870936.0,4824652.0,2342290.0,,1140295.0,11573340.0,,9197388.134,,,4812898.0,,5095409.0,5569644.0,,,1886160.0,11382070.0,2980406.9,2978770.9,1020741.0,,606773.0,7294075.0,,1850000.0,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,31953434.0,,0.0,14965500.0,,24838320.0,15114710.0,,0.0,5679710.0,5628390.0,35946081.0,11983370.0,11472180.0,8409950.0,,14316050.0,,21551140.0,19987742.0,,0.0,11260090.0,,10527510.0,10902630.0,,269899.0,4543680.0,3554410.0,15441140.0,5869320.0,6353310.0,3940430.0,,6864900.0,,13483680.0,800000.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,76751407.0,0.910237358037003,0.60852382091366,5.578684964601705
CAF,326056578.0,125577046.0,,7759080.0,2467715.0,,3184004.0,,6939875.0,5289116.0,,,3375240.0,5334937.0,2365288.0,3459387.0,70000.0,870000.0,1456591.0,6109981.0,,5362172.0,1200984.0,,1009332.0,,4111652.0,2056018.0,,,1802676.0,3050925.0,867821.0,2594578.0,70000.0,870000.0,711961.0,2765415.0,,1500000.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12201700.0,3534211.0,,4219145.0,,9138029.0,7648830.0,,34442.0,72000.0,3873681.0,6578315.0,2947548.0,4550648.0,,2577600.0,2005875.0,,8213296.0,8863164.0,2031904.0,,1714801.0,,5926994.0,3331479.0,,34442.0,62000.0,2626042.0,4280885.0,1379635.0,3112297.0,,820006.0,1461420.0,,4225449.0,720000.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,18100000.0,0.14413462154540568,19316401.0,0.1538211119106822,0.8370327083627433,16.417808943615043
TCD,1454258243.0,436509852.0,,12019430.0,1077816.0,,3103302.0,,6479271.0,6343152.0,,,5163862.0,1023124.0,580870.0,549538.0,,,1077816.0,6727016.0,,9177634.0,813432.0,,930990.0,,4386244.0,3164475.0,,,4152482.0,798578.0,458412.0,432774.0,,,504350.0,2685250.0,,2200000.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,28196903.0,3074855.0,,6552542.0,,17828930.0,14243010.0,,0.0,6311998.0,11145184.0,2910325.0,928797.0,918662.0,,,3526749.0,,14452252.0,21902285.0,2457176.0,,2817596.0,,12091010.0,4519228.0,,419023.0,6311998.0,9563756.0,2251626.0,870569.0,819834.0,,,1640177.0,,7639195.0,2000000.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,13589293.0,0.03113169818872336,0.7988706670074611,30.647301472982083
CHL,80306084.0,2717100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
COL,467231247.0,45942202.0,,41535639.0,,,17602342.0,27114743.0,36619746.0,29217154.0,,,,25777201.0,2013023.0,3047126.0,,607910.0,19327299.0,22319436.0,,8631312.0,,,904722.0,469965.0,4327992.0,3918486.0,,,,6433375.0,238158.0,337743.0,,124040.0,995043.0,1477989.0,,1200000.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,44425812.0,,,9010233.0,12865497.0,24541695.0,18041222.0,,0.0,,,16431668.0,6480495.0,9844227.0,,2065431.0,11926891.0,,12781338.0,9848434.0,,,1081150.0,388928.0,2631663.0,1902514.0,,31208.0,,,3583076.0,455482.0,725110.0,,238442.0,477788.0,,1345432.0,890000.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,68821444.0,1.4980005203494486,0.7351253148926626,2.546512617243299
COG,22496182.0,31046905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
CRI,18903343.0,695934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
CUB,,23986145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
CUW,4720075.0,76392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
